SUBPRODUCT_CODE,BUSINESS_PRODUCT,ONLY_REG_BENE_FOR_TXN,DEBIT_LVL_ID,BATCH_RULE_ID,BATCH_RULE_NAME
A2ATP,A2ATP,N,T,
A2ASELF,A2ASELF,N,T,
DFT-OUTWARD,PHILPASSRTGS,N,T,
DFT-OUTWARD,PHINSTAPAY,N,T,
DFT-OUTWARD,PHPESONET,N,T,
DFT-WIRED,PHILPASSPDDTS,N,T,
CBFT,CBFT,N,T,
PAYROLL,PAYROLL,N,B,P,ByProduct
BILLPAY,BILLPAYMENT,N,T,
