ROLE,OD_PRODUCT_CODE,OD_SUBPROD_CODE,OD_FUNCTION_CODE
RELEASER,PAYMNT,CBFT,inquiry
RELEASER,PAYMNT,CBFT,siinquiry
RELEASER,PAYMNT,DFT,AUTTXN
RELEASER,PAYMNT,DFT,CNCLSI
RELEASER,PAYMNT,DFT,CNTXN
RELEASER,PAYMNT,DFT,inquiry
RELEASER,PAYMNT,DFT,siinquiry
RELEASER,PAYMNT,PAYROLL,AUTTXN
RELEASER,PAYMNT,PAYROLL,CNTXN
RELEASER,PAYMNT,PAYROLL,inquiry
VIEWER,CORESVS,CASASVS,VSBLTY
VIEWER,CORESVS,CORESVS,VSBLTY
VIEWER,PAYMNT,A2ASELF,inquiry
VIEWER,PAYMNT,A2ASELF,siinquiry
VIEWER,PAYMNT,A2ATP,inquiry
VIEWER,PAYMNT,A2ATP,siinquiry
VIEWER,PAYMNT,BENE,inquiry
VIEWER,PAYMNT,BILLPAY,inquiry
VIEWER,PAYMNT,CBFT,inquiry
VIEWER,PAYMNT,CBFT,siinquiry
VIEWER,PAYMNT,DFT,inquiry
VIEWER,PAYMNT,DFT,siinquiry
VIEWER,PAYMNT,PAYROLL,inquiry
ADMIN MAKER,ADMIN,ADMIN,ACGRP1
ADMIN MAKER,ADMIN,ADMIN,ACGRP2
ADMIN MAKER,ADMIN,ADMIN,ACGRP3
ADMIN MAKER,ADMIN,ADMIN,ACGRP4
ADMIN MAKER,ADMIN,ADMIN,BUARE
ADMIN MAKER,ADMIN,ADMIN,CLSUSER
ADMIN MAKER,ADMIN,ADMIN,COPREF1
ADMIN MAKER,ADMIN,ADMIN,COPREF2
ADMIN MAKER,ADMIN,ADMIN,CRTL01
ADMIN MAKER,ADMIN,ADMIN,CRTL02
ADMIN MAKER,ADMIN,ADMIN,CRTL03
ADMIN MAKER,ADMIN,ADMIN,CUARE
ADMIN MAKER,ADMIN,ADMIN,CUC001
ADMIN MAKER,ADMIN,ADMIN,CUC002
ADMIN MAKER,ADMIN,ADMIN,CUC003
ADMIN MAKER,ADMIN,ADMIN,CUC004
ADMIN MAKER,ADMIN,ADMIN,CUPR01
ADMIN MAKER,ADMIN,ADMIN,CUPR02
ADMIN MAKER,ADMIN,ADMIN,CUPR03
ADMIN MAKER,ADMIN,ADMIN,CUPR04
ADMIN MAKER,ADMIN,ADMIN,CUST_PROF_RPT
ADMIN MAKER,ADMIN,ADMIN,DABUSR
ADMIN MAKER,ADMIN,ADMIN,ENBUSR
ADMIN MAKER,ADMIN,ADMIN,ENTARE
ADMIN MAKER,ADMIN,ADMIN,LMTS01
