SUBPRODUCT_CODE,PAYMENT_PRODUCT,BACK_DT_TXNS_ALLOWED,BACK_DT_DAYS,FUTURE_DT_TXNS_ALLOWED,FUTURE_DT_DAYS
A2ATP,A2A3PARTY,N,0,Y,365
A2ASELF,A2ASELF,N,0,Y,365
DFT-OUTWARD,INSTAPAY,N,0,Y,365
DFT-OUTWARD,PESONET,N,0,Y,365
DFT-OUTWARD,RTGS,N,0,Y,365
DFT-WIRED,PDDTS,N,0,Y,365
CBFT,SWIFT,N,0,Y,365
BILLPAY,BILLPAY,N,0,N,0
