SUBPRODUCT_CODE,PAYMENT_PRODUCT,EXT_CUTOFF_TIME_APPLICABLE,EXT_CUTOFF_TIME,DEBIT_ARR_DAYS,DEBIT_BASED_ON_DATE,HOLD_DEBIT_DAYS,SPLITTING_ALLOWED,SPLITTING_THRESHOLD_AMT,SLA_REQ,SLA_MINUTES
A2ATP,A2A3PARTY,N,0,0,V,0,N,0,N,0
A2ASELF,A2ASELF,N,0,0,V,0,N,0,N,0
DFT-OUTWARD,INSTAPAY,N,0,0,V,0,N,0,N,0
DFT-OUTWARD,PESONET,N,0,0,V,0,N,0,N,0
DFT-OUTWARD,RTGS,N,0,0,V,0,N,0,N,0
DFT-WIRED,PDDTS,N,0,0,V,0,N,0,N,0
CBFT,SWIFT,N,0,0,V,0,N,0,N,0
BILLPAY,BILLPAY,N,0,0,V,0,N,0,N,0
